Affenpinscher,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Hip dysplasia,Cataracts,,
Afghan Hound,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Cataracts,Corneal Dystrophy,Demodicosis Demdectic Mange,Hip dysplasia
Akbash Dog,Hip and Joint,,,,Hip and Joint,,,,Hip dysplasia,,,
Airedale Terrier,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip dysplasia,Cerebellar Abiotophy,Corneal Dystophy,Hypothyrodism
Akita,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Hip dysplasia,Cataracts,Micropthalmia,Ocular Dysgensis
Alaskan Husky,,,,,,,,,,,,
Alaskan Klee Kai,,,,,,,,,,,,
Alaskan Malamute,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip dysplasia,Osteochondropdysplsia,Cataracts,Diabetes
American Bulldog,Hip and Joint,Inflammation,,,Hip and Joint,Inflammation,,,Hip dysplasia,Elbow Dysplasia,Lysomal Storage,
American Cocker Spaniel,,,,,,,,,,,,
American English Coonhound,,,,,,,,,,,,
American Eskimo Dog,Metabolism,,,,Metabolism,,,,Pyruvate Kinase Deficinecy,,,
American Foxhound,,,,,,,,,,,,
American Hairless Terrier,,,,,,,,,,,,
American Pit Bull Terrier,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Immunity,Overall Wellness,,Demodicosis ,Demodectic manage,Atopy,Cleft Lip
American Staffordshire Terrier,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Demodicosis ,Demodectic manage,Sexual Reversal,Hip Dysplasis
American Water Spaniel,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Growth Hormone responsive Dermatosis,adrenal sex home resposive dermatosis,hip dysplasia,pattern baldness
Anatolian Shepherd Dog,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
Appenzell Cattle Dog,Hip and Joint,,,,Hip and Joint,,,,,,,
Australian Cattle Dog,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Hip Dysplasia,Cataracts,Deafness,Dermatomyositis and ulcerative dermatosis
Australian Kelpie,,,,,,,,,Cerebellar abiotrophy,Globoid cell leukodystrophy,cutaneous asthenia,retinal atrophy
Australian Shepherd,,,,,,,,,Deafness,Hip Dysplasia,Cataracts,Micropthalmia
Australian Silky Terrier,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Progressive Retinal Atophy,Retinal Dysplasia,,
Australian Stumpy Tail Cattle Dog,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Australian Terrier,,,,,,,,,Progressive Retinal Atophy,,,
Azawakh,,,,,,,,,,,,
Barbet,Metabolism,,,,Metabolism,,,,,,,
Basenji,,,,,,,,,Fanconi Syndrome,Persistent Pupillary Membranes,Pyruvate Kinase,Cataracts
Basset Griffon Vendeen,,,,,,,,,Hip Dysplasia,,,
Basset Fauve de Bretagne,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
Basset Hound,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Platelet Dysfunction,Seborrhea,Cervical Verebral Instability,Elbow Dysplasia
Beagle,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Plumonic stenosis,cataracts,cutaneous asthenia,Cerebellar abiotrophy
Bearded Collie,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Cataracts,Corneal Dystrophy,Hip Dyslasia,Pemphigus
Beauceron,Hip and Joint,,,,Hip and Joint,,,,,,,
Bedlington Terrier,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Chronic hepatitis,Retinal Dysplasia,Cataracts,Glaucoma
Belgian Malinois,,,,,,,,,Hip Dysplasia,Progressive Retinal Atrophy,Retinal Dysplasia,
Belgian Sheepdog,,,,,,,,,Cataracts,Pannus Superficial keratitis,Progressive Retinal atrophy,X-linked Muscular dystrophy
Belgian Shepherd Dog,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Belgian Shepherd Dog - Groenendael,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Belgian Shepherd Dog - Laekenois,,,,,,,,,,,,
Belgian Shepherd Dog - Malinois,,,,,,,,,,,,
Belgian Shepherd Dog - Tervueren,Metabolism,,,,Metabolism,,,,Idiopahtic Epilepsy,Pannus,Cataracts,Vitiligo
Bergamasco,,,,,,,,,,,,
Bernese Mountain Dog,,,,,,,,,Meningitis,Elbow Dysplasia,Hip Dysplasia,Histiocytosis
Bichon Frise,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,Atopy,Cataracts,Congenital Hypotrichosis,Corneal Dystrophy
Biewer Terrier,Hip dysplasia,Eye Health,,,Hip dysplasia,Eye Health,,,,,,
Black and Tan Coonhound,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Entropion,Hip Dysplasia,Hemophilia,Progressive retinal atrophy
Black Russian Terrier,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Urolithiasis,,,
Bloodhound,Hip and Joint,,,,Hip and Joint,,,,Gastric dilation volvulus,Hip Dysplasia,elbow dysplasia,keratoconjunctivitis sicca
Blue Tick Coonhound,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,globoid cell leukodystrophy,Hip Dysplasia,,
Boerboel,,,,,,,,,,,,
Bolognese,,,,,,,,,,,,
Border Collie,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,collie eye anomaly,deafness,cataracts,cerebellar abiotrophy
Border Terrier,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,cataracts,retinal dysplaisa,progressive retinal atrophy,fanconi syndrome
Borzoi,,,,,,,,,cervical vertebral instability,gastric dilation,microphthalmia,progressive retinal atrophy
Boston Terrier,,,,,,,,,brachycephalic syndrome,atopy,cataracts,cleft lip
Bouvier des Ardennes,Metabolism,,,,Metabolism,,,,,,,
Bouvier des Flandres,,,,,,,,,hip dysplasisa,cataracts,glaucoma,laryngeal paralysis
Boxer,,,,,,,,,arrhythmogenic right ventricular cardiomyopathy,corneal dystrophy,degenerative myelopathy,dilated cardiomyopath
Boykin Spaniel,Demodicosis ,Skin and Coat,Immunity,Overall Wellness,Demodicosis ,Skin and Coat,Immunity,Overall Wellness,,,,
Braque du Bourbonnais,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Briard,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Hip dysplasisa,corneal dystrophy,gastric dilation volvulus,progressive retinal atrophy
Brittany,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,cerebellar abiotrophy,cleft lip,complement deficiency,glaucoma
Brussels Griffon,Hip and Joint,,,,Hip and Joint,,,,cataracts,chiari like malformation and syringomyelia,progressive retinal atrophy,corneal dystrophy
Broholmer,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
Bull Terrier,,,,,,,,,lethal acrodrmatitis,mitral value dysplasia,deafness,demodicosis
Bull Terrier MINI,,,,,,,,,lens luxation,persistent pupillary membranes,,
Bulldog,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Bullmastiff,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,entropion,hip dysplasia,cerebellar abiotrophy,cervical vertebral instability
Cairn Terrier,,,,,,,,,craniomandibular osteopathy,mitral valve dysplasia,atopy,cataracts
Canaan Dog,,,,,,,,,idiopathic epilepsy,hip dysplasia,progressive retinal atrophy,
Canadian Eskimo Dog,Metabolism,,,,Metabolism,,,,,,,
Cane Corso,,,,,,,,,,,,
Catahoula Leopard Dog,,,,,,,,,,,,
Cavalier King Charles Spaniel,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,mitral valve dysplasia,chiari like malformation and syringomyelia,cataracts,corneal dystrophy
Ceskoslovensky Vlcak,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Cesky Terrier,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,,,
Chesapeake Bay Retriever,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,hip dysplasia,progressive retinal atrophy,von willebrand,entropion
Chihuahua,Hip and Joint,,,,Hip and Joint,,,,patellar luxation,chiari like malformation,syringomyelia,colour dilution alopecia
Chihuahua - Longhaired,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
Chihuahua - Smooth-haired,,,,,,,,,,,,
Chinese Crested Dog,,,,,,,,,,,,
Chinook,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Chow Chow,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,entropion,hip dysplasia,cataracts,cerebellar abiotrophy
Cirneco dell´Etna,,,,,,,,,,,,
Clumber Spaniel,,,,,,,,,cataracts,ectropion,entropion,exposure keratophy syndrome
Collie,Metabolism,,,,Metabolism,,,,Collie Eye Anomoly,Dermatomyositis,Ulcerative dermatosis,bullous pemphigoid
Collie Rough,,,,,,,,,Collie Eye Anomoly,Dermatomyositis,Ulcerative dermatosis,
Collie Smooth,,,,,,,,,Collie Eye Anomoly,Dermatomyositis,Ulcerative dermatosis,
Coton de Tulear,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,cerebellar abiotrophy,,,
Coyote,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Croatian Sheepdog,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,,,
Curly Coated Retriever,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,hip dysplasia,cataracts,eyelash abnormalities,progressive retinal atrophy
